	hybase1	hybase1	hybase1	hybase2	hybase2	hybase2	hybase2	hybase2	hybase2	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase9	hybase10	hybase10	hybase10	hybase10	hybase10	hybase10	hybase32	hybase32	hybase32	hybase41	hybase41	hybase41	hybase41	hybase41	hybase41	hybase45	hybase45
QSOX1	5.42	3.93	15.7	14.06	63.4	0	21.06	32.2	0	7.06	6.09	3.7	5.59	13.82	6.53	13	8.65	8.04	12.52	16.03	14.71	14.09	14.27	18.8	18.5	11.14	13.45	3.91	6.46	4.6	7.26	6.31	8.07	9.7	25.28	38.92
QSOX2	12.2	17	118.68	38.1	114	26.6	43.19	46.6	0	4.76	6.74	20.21	29.2	11.3	8.37	38.5	37.9	27	19.59	59.39	48.65	58.6	42.5	35.61	50.86	14.3	19.3	12.02	15.91	9.84	7.55	10.4	11.93	11.65	87.88	105.38
QTRT1	0	0	0	9.51	33.4	0	8.6	0	0	0	0	0	0	0	0	11	5.1	0	0	0	0	0	0	0	0	4.89	14	0	5.41	9.17	4.76	2.57	3.52	5.98	22.75	30.45
QTRT2	19.4	22.18	61.6	56.4	32.7	33.49	59	78.5	0	13.62	64.16	28.79	20.72	51.32	24.86	8.13	11.76	28.73	17.57	26.82	39.45	14.7	33.4	36.72	29.5	3.22	2.75	4.97	7.34	4.89	7.56	7.5	5.59	7.79	2.25	2.23
R3HCC1	10.6	9.44	51.6	33.2	74.2	5.61	20.5	107	0	4.6	8.99	27.4	16.2	13.4	8.67	4.63	3.81	12.9	9.24	39.1	42	45.37	60	37.4	42.02	14.16	20.98	7.47	6.58	5.87	6	6.96	6.97	5.62	33.49	32.47
R3HCC1L	32.54	23.53	17.79	42.8	0	13.4	34	13.3	0	52.9	47.05	44.9	50.3	21.61	35.79	15.6	30.55	17.98	45.43	9.26	11.68	6.53	10.14	14.29	7.36	2.14	0	0	9.43	14.13	10.69	12.74	5.79	7.18	3.64	2.54
R3HDM1	13.01	6.36	0	18.7	13.6	12.5	4.28	0	0	6.81	15.78	7.12	39.99	7.14	28.96	4.8	2.19	5.39	6.34	0	0	0	0	0	0	0	0	2.05	2.24	2.46	2.91	2.22	0	0	0	0
R3HDM2	19.7	10.1	40.2	12.6	8.85	3.71	8.87	18.6	0	16.3	25.6	14.14	18.15	16.09	22.26	9.84	10.47	18.2	12.6	19.9	18.7	18.6	29.8	19.8	44.72	17.9	15.3	6.67	19.11	10.93	6.01	6.09	4.9	7.55	7.43	7.6
R3HDM4	0	0	0	0	10.2	0	7.44	0	0	0	0	0	0	0	0	7.24	0	0	2.05	0	0	0	0	0	0	2.27	0	0	1.35	3.18	1.32	1.86	3.59	3.93	124	116
RAB10	0	0	1.8	0	31.3	2.95	11.1	11.7	0	4.14	5.87	8.75	5.91	2.44	2.93	7.79	8.92	2.15	2.36	6.51	5.03	7.55	5.65	7.47	6.87	4.12	7.67	3.75	4.24	5.65	4.34	10.2	3.81	5.21	46.1	63.1
RAB11A	0	0	0	0	0	9.79	11.2	0	0	4.84	3.04	8.84	3.36	5.79	2.98	13.5	15	4.73	3.38	4.55	3.54	10.6	5.85	5.53	5.06	10.4	20.8	2.26	2.91	4	0	1.92	0	0	0	0
RAB11B	0	0	6.03	0	68.7	0	5.06	0	0	1.86	2.5	0	1.96	3.41	2.01	2.07	0	3.19	5.54	5.81	5.2	10.32	5.8	7.63	10.99	25.14	35.8	6.64	5.53	5.54	6.08	5.09	6.75	6.07	29.93	41.51
RAB11B-AS1	8.92	9.26	19	0	8.85	0	5.84	0	0	8.67	0	0	13.7	32.5	22.98	0	0	0	6.96	10.8	13.8	14.6	13	17.8	16.8	0	0	0	7.45	4.81	0	5.75	10.4	0	24.56	21.4
RAB11FIP1	60.46	36.54	49.27	97.27	109.35	21.4	56.58	64.9	0	36.75	48.46	26.3	0	72.49	33.8	28.38	29.21	80.81	51.2	61.35	66.14	28.28	54.09	43.85	40	4.51	0	0	28.82	29.29	33.34	31.19	19.32	15.66	48.14	43.72
RAB11FIP2	19.3	15.6	19.99	86.3	0	9.29	67.4	57	0	26.76	64.51	70.76	56.52	75.03	54.49	33.3	26.15	29.81	15.35	0	0	0	0	3.11	0	0	2.33	0	4.16	8.21	17.38	6.2	0	4.58	55.2	126
RAB11FIP3	14.5	11.35	46.74	0	56.41	0	16.95	13.6	0	12.19	8.21	0	11.4	13.98	9.12	9.51	9.75	27.58	31.12	33.22	41.03	84.54	27.99	32.06	98.86	38.01	58.42	6.96	18.82	19.47	17.58	34.54	23.12	25.11	159.98	103.6
RAB11FIP4	14.84	17.06	4.72	0	0	8.64	5.1	0	0	10.62	20.92	16.3	0	15.3	8.12	0	0	16	13.5	12.39	15.23	6.92	20.09	14.05	14.63	4.61	3.34	0	7.74	2.58	3.8	6.6	10.84	6.45	33.41	46.33
RAB11FIP5	5.68	5.34	0	0	0	0	27.96	0	0	37.58	24.4	0	13.72	22.17	0	9.21	3.24	20.19	15.91	18.3	19.24	10.89	18.57	26.8	20.46	11.22	12.07	2.61	7.09	6.88	7.78	6.75	5.69	0	157.35	130.66
RAB12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.75	0	0	0	0	0	6.7	6.19	6.16	26.76	8.84	0	0	0	0	0	1.81	2.17	0	17.88	53.2	51.9
RAB13	4.09	4	0	0	9.23	0	2.6	0	0	3.86	3.92	9.18	9.81	5.37	17	13.35	19.2	6.9	3.8	5.6	6.28	7.61	7.33	6.79	13.3	4.38	22.36	3.61	0	0	0	0	3.35	3.52	2.17	7.35
RAB14	1.78	4.72	0	0	27.89	0	10.6	0	0	3.9	0	4.99	4.57	0	5.9	75.5	16.1	6.33	14.16	0	0	0	0	7.32	0	2.93	4.42	0	1.72	2.33	3.14	1.78	2.6	2.57	2.26	0
RAB15	6.99	3.06	0	0	0	0	0	0	0	10.45	18	7.03	0	7.91	3.99	4.92	9.61	12.72	10.95	4.05	4.26	5.99	2.26	5.69	3.52	8.93	8.58	0	7.76	9.12	9.23	9.58	3.21	2.63	11.71	13.34
RAB17	0	0	0	67.3	79	0	22.97	35.2	0	0	16.3	0	0	19.6	0	0	0	0	0	31.4	32.7	50.8	38.9	34.2	22.41	0	0	0	0	0	0	0	0	0	0	0
RAB18	5.6	4.18	0	0	5.45	0	13	0	0	9.31	5.75	8.99	13.51	9.42	6.96	11.6	5.81	11.18	6.22	18.99	11.47	13.15	14.21	17.53	24.23	0	1.59	2.71	10.15	14.85	10.39	11.82	5.63	10.14	16.1	20
RAB19	0	0	0	0	0	0	0	0	0	0	0	0	0	5.42	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB1A	5.08	3.55	0	9.94	11.2	0	11.58	0	0	4.75	5.52	12.17	7.74	9.01	5.74	73.1	24.2	9.43	7.37	0	0	0	2.92	3.5	0	1.95	2.68	0	4.06	4.35	7.32	7.1	2.18	11.78	0	0
RAB1B	0	0	2.21	0	12.9	0	0	0	0	1.83	0	6.37	5.56	0	0	10.5	11	3.69	5	1.37	1.54	2.06	0	1.36	1.56	11.14	13.18	1.6	1.45	1.43	1.46	1.47	0	0	5	6.88
RAB20	45.1	80.6	52.5	27.9	53.45	19.4	18.3	48.2	0	14.5	24.38	34.38	13.7	19	0	15.7	14.45	21.76	8.89	35.91	26.9	40.8	36.1	27.9	24.67	0	0	0	8.93	13.11	7.51	7	5.19	5.82	114.32	62.79
RAB21	7.02	4.92	0	13.6	15.7	4.06	36.19	0	0	5.03	3.58	18.1	5.85	5.48	5.78	3.85	0	8.49	6.67	0	5.11	19.5	6.84	11.47	26.5	2.44	15.6	6.73	4.77	7.4	8.23	11.44	3.8	6.21	40.7	45.8
RAB22A	8.29	12.3	3.85	0	5.45	8.69	17.93	0	0	5.35	10	8.69	8.52	4.02	5.2	8.06	1.93	6.44	6.19	3.83	5.06	0	28.7	5.18	0	0	2.26	0	2.97	3	2.4	11.08	0	0	122	118
RAB23	6.9	6.43	0	9.17	0	0	15.8	0	0	3.32	8.41	4.59	13.75	2.51	5.45	0	17	3.4	8.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.6	178
RAB24	2.35	1.72	3.66	0	10.2	0	16	0	0	0	0	0	0	0	0	0	0	3.04	0	2.73	3.14	3.93	2.18	2.87	4.63	3.05	10.07	0	4.53	6.35	4.89	5.36	7.67	9.85	28	41.4
RAB26	6	2.26	46.2	14.6	22.5	0	21.1	0	0	10.4	0	0	0	24.4	7.64	15.6	12.7	11.8	56.6	44.9	42.6	16.1	17	32.2	57.6	16.3	25.7	0	8.21	5.42	5.35	8.89	0	0	21.21	26.17
RAB27A	0	0	0	0	0	0	2.24	0	0	0	0	0	6.85	13.5	0	0	17.8	2.24	0	0	0	3.89	0	0	5.52	0	0	0	0	18.3	7.3	0	0	0	23	15.9
RAB27B	0	0	0	23.8	0	3.73	10.4	17.1	0	0	0	0	8.17	0	0	6.18	16.27	11.57	14.06	0	16.3	0	15	0	0	2.41	2.24	2.95	0	0	0	0	0	0	0	0
RAB28	7.48	4.03	0	0	0	0	8.78	0	0	0	0	0	0	0	3.2	0	11.9	5.72	3.44	0	2.17	3.54	3.28	0	2.7	0	0	0	3.08	1.99	2.72	3.6	2.93	5.29	3.71	3.45
RAB29	13.39	22.08	50.4	0	0	7.49	9.51	33.5	0	9.16	5.89	13.92	15	32.53	0	6.89	6.86	16.18	17.16	34.7	28.5	12.9	21.67	27	12.5	4.61	2.49	8.1	5.73	4.85	3.88	4.61	4.79	10.75	7.2	7.32
RAB2A	0	0	0	0	8.85	0	5.04	0	0	0	0	4.93	7.07	0	2.54	14	4.53	3.47	3.39	0	0	0	0	0	0	0	4.95	0	0	2.4	3.72	1.54	0	10.3	21.8	30.5
RAB2B	0	0	0	0	0	6.91	0	0	0	0	10.4	0	7.51	5.72	4.6	0	11	0	0	0	0	0	0	0	0	0	0	0	0	9.17	0	0	0	0	0	0
RAB30	25.5	24.5	117	82.6	67.4	17.1	56.6	31.5	0	24	24.4	47	89.7	22.6	10.9	17.4	9.35	8.13	22.5	126	74	41.6	44.9	48.2	39.3	0	0	0	9.25	18	5.6	9.58	4.35	6.48	4.72	2.21
RAB30-AS1	5.19	4.99	0	0	0	0	5.57	0	0	4.34	0	7.95	4.86	11.7	13.9	0	4.46	5.55	2.97	0	0	0	0	3.19	0	0	0	0	0	0	0	0	0	0	0	0
RAB31	3.19	5.09	3.15	0	28.6	0	5.82	11.4	0	4.34	13.9	8.8	6.76	18.54	0	0	0	10.64	3.59	3.08	2.5	2.01	2.42	2.24	0	3.75	0	2.35	0	0	0	0	3.96	9.78	40.3	45.8
RAB32	3.84	9.5	0	9.51	9.53	0	13.02	0	0	3.9	0	4.76	4.8	8.43	8.17	5.51	7.73	4.09	4.01	0	0	0	0	0	0	1.9	0	3.12	0	0	0	0	0	6.53	178	162
RAB33A	0	0	0	0	0	0	0	0	0	0	0	0	0	25.54	0	0	0	0	0	7.93	8.52	0	3.19	9.17	0	0	0	0	6.89	6.4	7.82	9.95	7.21	9.2	0	0
RAB33B	18	12.2	0	25.8	0	19.83	19.4	12.7	0	6.94	6.47	22.6	36.8	7.23	10.9	4.97	3.72	22.9	7.76	0	0	0	0	0	0	0	0	0	5.71	4.66	3.44	4.42	0	0	25.9	20.5
RAB34	3.14	2.19	0	8.83	132.1	0	16.74	20.1	0	3.76	3.25	0	2.66	3.07	2.66	82.28	19.16	7.96	19.75	2.53	7.18	20.44	2.11	7.9	5.87	15.92	29.56	0	0	0	0	0	0	0	31.94	33.13
RAB35	15.68	8.43	13.32	18.2	45.6	19.2	17.78	33.4	0	4	8.14	35.9	8.09	13.08	6.86	14.2	7.44	14.65	12.69	25.91	25.53	25.88	28.24	20.07	19.11	19.61	47.15	8.71	9.29	6.93	8.28	7.9	11.01	15.29	34.02	42.6
RAB36	27.1	52.56	0	0	0	0	0	0	0	16.05	0	0	0	0	6.25	14.4	20.77	38.9	31	17.5	41.5	0	20.5	50.5	0	0	3.75	0	0	0	0	0	0	0	7.14	14.4
RAB37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.7	4.97	0	6.16	3.73	3.37	0	0	0	0	0	4.3	3.65	6.55	5.88	0	0
RAB38	7.39	0	0	0	0	0	0	0	0	3.3	14.5	20.3	0	3.84	0	0	0	0	10.8	0	2.88	0	2.28	3.19	0	0	0	0	0	0	0	0	0	4.81	0	0
RAB39A	18.9	15.5	26.9	0	0	0	0	0	0	39.3	31.9	0	0	26.98	15.3	0	0	40.9	18	6.71	5.5	0	3.26	4.66	8.1	0	0	0	0	0	0	0	15.2	0	21.8	19
RAB39B	26.4	9.63	27.1	0	0	0	0	0	0	20.83	20.77	0	0	9.94	14.5	0	0	9.71	0	14.2	24.3	11.3	19.8	40.9	14.2	0	0	0	0	4.58	0	5.33	2.69	2.26	7.92	0
RAB3A	0	0	0	0	0	0	0	0	2.13	0	0	0	0	3.76	0	0	0	0	0	3.29	3.52	4.13	0	0	0	0	0	0	5.55	4.4	7.81	5.04	5.79	0	0	0
RAB3B	0	0	0	0	0	18.98	0	0	0	0	0	0	15.53	4.56	3.5	9.59	11.9	8.67	0	2.42	7.48	0	2.53	1.72	26.54	0	0	0	0	0	0	0	0	0	37.8	40.9
RAB3C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7	7.7
RAB3D	8.59	11.5	45.8	0	8.85	15.95	20.59	12.3	0	6.65	23.1	0	0	5.93	0	0	0	12.4	10.29	21.1	25.8	120.73	43.6	44.3	35	14.53	22.76	0	9.06	11.02	7.62	10.37	11.43	13.59	41.48	44.6
RAB3GAP1	12.75	11.6	31.2	0	30	0	17.9	18.4	0	7.6	8.94	10.5	14.09	10.54	21.97	8.99	7.49	8.87	8.47	10.6	12.7	17.9	8.37	9.94	10.8	6.1	2.94	6.5	3.6	2.8	6.5	7.14	4.56	5.23	3.21	5.17
RAB3GAP2	0	0	0	0	0	0	0	0	0	0	0	0	9.72	9.03	17.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07	0	0	0	0	0
RAB3IL1	9.21	0	45.1	0	25.2	0	13.4	36.5	0	17.9	0	0	0	48.82	0	5.99	7.65	31.9	17.1	30.14	36.5	17.37	16.97	18.3	8.91	14.58	22.95	0	14.73	10.29	22.61	13.22	25	7.56	202.61	228.04
RAB3IP	25.63	16.88	5.39	0	0	17.57	0	0	0	11.79	23.5	2.57	0	20.16	0	0	13.6	27.2	21.8	6.21	11.55	0	5.81	17.27	10.3	0	0	0	0	0	0	0	0	0	9.35	12.2
RAB40A	49.6	25.4	95.2	0	0	0	19.27	0	0	36.5	0	0	0	45.2	19.08	0	0	0	0	52.6	22.8	32.4	56.1	158.4	49.8	0	0	0	0	0	0	0	0	0	22.67	32.7
RAB40AL	6.39	11.4	11.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB40B	7.65	4.1	0	24.1	14.3	0	5.24	0	0	0	0	6.51	9.72	0	4.84	4.88	6.46	37.4	6.87	3.9	3.25	0	4.45	0	0	0	0	0	0	3.16	0	2.52	12.8	9.63	72.32	131.6
RAB40C	41.6	62.26	355.08	158.88	140.3	33.65	69.78	108.3	10.7	35.27	42.75	26.2	38.5	61.47	15.85	31.43	32.53	55.79	36.57	105.6	80.4	49.6	83.5	78.6	58.7	56.8	78.7	14.94	14.63	9.3	15.24	11.24	22.03	42.76	120.9	103.3
RAB42	0	0	0	14.95	42	0	21.4	45.7	0	0	25.65	0	40.2	45.23	0	0	0	0	10.8	45.61	51.5	39.8	33.34	55.86	54.68	0	0	0	0	0	0	0	0	8.94	0	0
RAB43	23.68	19.58	196.2	25	56.9	13.68	30.68	27.6	0	39.51	52.4	24.4	76.56	39.72	36.4	28	33.14	59.92	94.11	85.62	107.36	69.7	65.64	80.56	102.54	14.38	30	20.53	27.02	28.17	28.6	32.7	30.79	26.24	63.38	83.33
RAB44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.67	27.61	12.55	9.93	0	0	0	0
RAB4A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.4	22.2
RAB4B	0	0	0	0	0	0	0	0	0	0	0	0	0	18.06	0	0	45.8	0	0	0	0	0	0	9.76	0	0	0	0	0	0	0	0	1.97	6.36	0	0
RAB4B-EGLN2	21.65	24.61	41.02	30.75	101.5	0	21.7	59.5	0	53.81	16.17	19.42	22.76	16.63	9.99	42.37	11.97	23.62	26.4	15.49	13.85	18.52	16.29	15.8	35.38	30.98	36.7	13.92	11.22	9.84	14.59	11.62	13.14	13.52	57	61.5
RAB5A	8.3	3.97	0	0	0	0	9.23	0	0	18.49	18.81	29.43	13.28	11.84	15.83	9.56	10.51	7.58	10.25	5.11	4	6.98	4.74	8.72	6.77	2.8	6.12	2.32	0	3.67	5.74	5.51	2.9	3.7	18.1	28.6
RAB5B	2.38	1.99	0	0	0	0	0	0	0	4.04	2.68	5.96	4.43	2.74	3.18	9.59	2.65	15.4	4.4	0	0	0	0	0	0	0	2.54	1.55	0	0	1.52	0	1.98	11.42	0	0
RAB5C	0	0	0	0	15.18	0	5.07	0	0	1.65	1.97	0	9.27	0	1.78	22.8	9.34	18.7	3.51	0	2.89	4.6	3.56	4.72	4.05	14.72	63.02	1.93	5.16	5.29	2.05	5.44	7.73	5.2	36.5	9.92
RAB6A	1.61	1.69	0	0	12.9	0	18.4	0	0	2.75	2.37	5.26	3.71	2.19	2.49	9.41	11.24	5	1.91	0	0	9.73	0	4.49	2.82	0	0	0	0	2.25	0	3.92	1.78	3.09	25.9	28.7
RAB6B	0	0	0	0	0	0	0	0	0	0	0	0	0	22.32	0	0	0	0	0	7.3	6.18	15.9	17.89	6.8	0	0	0	0	9.01	8.63	6.35	10.31	0	0	208	433
RAB6C	9.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78.4	50.7
RAB7A	2.52	1.93	2.21	0	31.3	0	13.5	0	0	3.49	2.58	9.24	5.13	3.09	2.91	11.6	13.33	8.14	5.14	38	6.63	13.1	8.4	6.27	7.36	4.39	6.24	3.23	3.77	6.82	3.96	4.57	4.69	5.97	16.64	15.98
RAB8A	10.95	10.96	9.99	6.75	71.5	3.93	23.82	44.91	0	13.35	35.16	19.32	12.79	14.92	10.06	24.96	24.98	10.84	12.05	6.98	7.85	1.94	5.84	7.12	2.47	12.53	13.26	9.42	8.93	8.16	7.83	8.23	8.17	9.14	4.62	7.6
RAB8B	16.2	9.24	16.9	28.5	15.3	12.1	18.9	15.6	15.9	7.92	18.94	7.95	14.06	15.6	8.05	33.73	32.49	17.58	16.88	29.3	20.1	12.5	17.4	17.8	5.97	4.65	2.57	2.91	7.85	7.05	7.65	8.42	7.21	8.89	4.38	2.82
RAB9A	23.3	25.1	4.49	52.5	19.4	10.14	72.1	28.8	0	12.72	18.94	9.32	18.97	19.01	22.78	7.83	7.6	10.33	14.38	7.48	5.43	0	12.53	9.97	0	3.43	0	0	0	0	0	0	0	9	0	0
RAB9B	50.24	20.17	30.4	0	0	0	0	0	0	24.2	0	0	0	33.5	23.6	0	0	0	0	42.3	11.38	0	46.6	28	0	0	0	0	0	6.42	11.28	0	0	0	0	0
RABAC1	0	1.83	6.15	0	10.9	0	3.54	0	0	3.47	5.22	3.39	2.78	7.08	0	6.59	9.03	3.04	2.06	6.03	10.1	6.95	4.24	6.52	5.1	6.17	10.2	0	1.72	2.18	1.53	1.57	3.07	3.8	26.1	34.87
RABEP1	28.51	24.03	29.65	76.4	54.49	12.76	61.6	24.74	7.95	28.01	26.33	52.72	31.71	35.89	64.26	24.53	25.15	23.79	19.83	19	17.17	9.39	20.91	17.37	9.46	6.73	5.62	8.46	12.8	20.46	18.84	13.89	6.91	14.55	38	41.9
RABEP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.09	0	9.66	15.33	9.63	8.82	7.36	7.46	2.56	8.36	0	9.89	8.44	9.04	7.89	13.01	15.05	133.9	110.5
RABEPK	5.08	0	0	0	0	0	4.87	0	0	0	20	0	0	0	0	6.74	12.3	5.03	14.4	5.55	6.1	5.6	4.38	11.3	5.89	0	2.29	2.16	0	4.4	3.1	0	7.01	5.36	9.04	10.04
RABGAP1	7.15	7.1	18.9	12.9	0	0	7.65	0	0	10.46	15.92	30	7.22	42.9	11.42	3.72	15.25	5.61	12.34	8.17	8.57	4.66	9.58	8.22	4.2	1.87	0	3.97	6.03	7.58	10.54	9.72	3.69	4.57	0	0
RABGAP1L	8.62	7.54	0	0	0	3.46	0	0	0	11.9	31.65	20.02	4.27	12.23	0	0	9.35	16	13.93	0	1.69	0	2.71	2.37	0	0	0	4.24	5.4	17.93	3.32	18.82	4.37	8.63	29.9	13.9
RABGEF1	24.85	21.87	11.88	132	0	16.8	20.8	56.3	0	15.78	22.9	34.47	48	27.86	20.73	25.16	60.3	10.48	24.42	17.91	21.37	15.22	21.23	13.66	12.09	8.64	7.91	2.26	13.66	9.78	12.57	13.41	11.73	13.75	8.91	23.02
RABGGTA	0	0	0	0	8.85	0	0	0	0	0	0	0	0	0	0	0	3.74	0	0	0	0	0	0	0	0	0	0	0	2.15	0	2.12	1.79	2.61	1.88	16.57	35.76
RABIF	14.8	10.6	18.6	49.6	24.5	6.62	33.5	60.8	0	6.04	27.2	18.1	15.1	44	9.48	26.56	8.65	17.7	13.68	21.8	24.2	16.1	19.8	17.5	11.4	3.91	10.17	4.96	6.54	5.3	5.85	7.44	5.22	4.33	3.09	5.57
RABL2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RABL2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.59	0	0	0	13.1	0	3.54	0	0	0	0	0	0	6.55	0	0	0	0	0	38.8	39.7
RABL3	0	0	0	0	0	6.77	0	0	0	4.05	0	0	0	0	0	7.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.04	0	0
RABL6	18.51	16.74	68.7	11.33	205.46	0	38.56	55.6	0	17.75	12.23	13.89	8.43	22.06	17.31	16.12	22.11	30.07	18.74	56.1	65.4	60.3	56.44	71.4	59.9	27.04	31.74	12.98	16.13	14.26	11.69	12.13	15.13	16.85	91.51	112.56
RAC1	3.7	3.16	0	3.03	12.3	0	6.6	0	0	5.97	7.48	8.65	5.35	5.43	5.96	11.65	7.14	7.66	7.55	0	0	2.95	0	3.11	2.84	1.49	0	8.24	0	0	1.51	1.44	1.64	2.12	11.2	0
RAC2	0	0	0	0	0	0	0	0	0	0	0	0	11.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23	1.13	0	0	1.86	2.16	0	0
RAC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.35	4.9	4.37	3.51	1.75	0	0	0	1.67	1.49	1.67	1.67	0	0	5.32	3.97
RACGAP1	0	0	0	12.3	3.11	0	6.16	0	0	2.84	0	0	0	4.97	0	0	11	2.16	1.82	0	0	0	0	0	0	0	0	1.58	2.04	2.16	1.81	1.84	2.18	0	0	0
RACK1	0	0	0	6.94	54.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.87	3.94	2.61	0	1.26	0	0	0	0	0	0
RAD1	2.44	2.07	0	0	5.45	13.82	0	0	0	0	0	0	0	2.36	3.03	12	5.38	2.22	6.19	0	0	4.55	0	0	0	0	0	0	4.88	3.41	2.65	0	0	0	20	24.4
RAD17	7.74	8.71	4.99	0	0	0	21.3	0	0	9.6	8.65	10.87	42.96	17.13	14.13	3.9	18.94	8.21	7.22	9.62	12.58	9.6	8.56	7.31	4.53	0	0	1.8	3.92	5.5	4.73	3.66	2.42	8.73	11.3	9.46
RAD18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.06	0	7.65	0	4.27	0	0	0	0	11.3	19.1	0	0	0	0	0	0	3.23	0	3.32	0	0
RAD21	1.27	0	0	0	4.57	7.59	12.8	0	0	13.46	6.01	4.56	10.05	7.14	11.72	14.72	9.71	4.13	2.99	2.93	2.81	9.19	2.04	4.42	2.5	0	0	1.9	2.84	2.92	3.1	3.13	2.83	2.18	0	0
RAD21-AS1	0	0	0	0	0	0	11.9	0	0	3.61	1.95	2.1	4.12	2.08	0	19.5	5.31	2.15	4.27	2.26	0	4.8	0	1.64	0	0	0	0	0	0	0	0	0	0	21.1	21.8
RAD23A	0	0	0	0	48.3	0	0	0	0	3.33	0	0	0	1.91	2.13	6.27	5.44	1.71	0	0	0	1.77	0	0	0	7.82	8.98	6.1	3.37	2.98	3.06	2.92	3.83	4.96	10.19	12.23
RAD23B	16.33	12.37	1.69	9.91	48.12	16.24	3.85	6.11	0	25.36	35.86	16.54	24.28	13.43	20.73	17.74	9.75	11.77	10.96	0	2.04	2.31	0	2.54	0	2.01	4.98	36.72	5.2	6.47	4.69	4.2	2.5	7.32	43	71.3
RAD50	14.97	10.09	0	0	0	12.5	7.65	0	0	24.83	47.49	18.46	45.8	0	46.78	13.08	20.77	10.45	2.82	16.1	0	0	0	0	0	0	0	1.81	3.47	0	0	1.82	2.08	2.2	24.8	11.4
RAD51	0	0	0	0	7.49	0	0	0	0	0	0	0	0	0	0	0	0	2.23	0	0	0	0	0	0	0	0	0	2.16	5.4	4.43	1.99	1.92	2.64	14.4	9.21	6.44
RAD51AP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAD51B	36.33	4.32	0	0	0	0	11.1	0	0	0	0	0	0	10.8	0	0	0	0	11.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAD51C	0	0	0	0	0	0	7.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAD51D	7.86	7.42	37	12.6	6.13	0	9.48	0	0	5.43	11	12.9	4.09	10.2	5.04	3.3	0	5.43	5.74	9.22	13.4	6.3	9.58	10.6	4.94	3.32	5.39	0	4.75	4.84	3.73	3.92	2.33	2.75	26.57	13.26
RAD52	60.6	9.45	0	11.6	0	0	7.48	0	0	28.1	11.6	21.1	16.8	9.03	6.96	15.7	14.93	8.09	17.39	11	5.42	5.31	0	0	5.68	0	0	0	5.57	8.07	16.49	10.2	3.25	17.7	33.46	37.22
RAD54B	2.76	1.84	0	0	0	0	0	0	0	0	0	0	0	0	18.15	0	0	6.36	45.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAD54L	0	0	0	0	14.3	0	0	0	0	0	0	0	0	0	0	0	0	0	11.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAD54L2	9.1	23.75	4.33	15.6	33.4	0	20.9	17.6	0	14.47	12.1	20.3	0	4.7	7.21	4.56	21.25	21.55	20.9	13.1	8.57	5.11	15	16.1	20.56	2.9	5.57	0	9.18	10.48	10.77	10.36	10.69	6.76	3.79	3.53
RAD9A	6.47	6.67	18.24	0	23.83	0	11.5	0	0	5.67	0	0	0	3.61	0	10.8	5	9.8	8.34	16.64	17.44	12.28	10.92	20.08	15.99	7.07	12.37	0	9.11	4.98	7.35	8.89	8.32	12.54	59.06	49.78
RAD9B	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
